referent_uuid,name_first,name_last,tribes,age,origins,occupations,enslavement_status,relationships
4ccd825da76f45de984dbfa528d16200,"[8:165] This Deponoent Testifyd in and saith that Sometime in the year of our Lord 1703 he was Shipt at Boston in New England to Serve as Mate on Board the Ship called the portsmouth Galley James Riley Commander to proceed on a voyage in Quest of a Wreck Supposed to be according to Information Somewhere about the Bahama Island and that they had Shipt on Board to ship ten Indians of Boston aforesd to Serve as Divers in sd Voyage which sd Indians as this - Deponent was Informed now Shipt on Board sd ship by Mr. William Hearley, whom he the Deponent Saw bring the sd Indians on Board. And farther this Deponent saith That they Sailed out of Boston in prosecution of sd voyage sometime in December 1703 and that the sd Ten Indians - were on board and faithfully attended the Service of sd Ships - untill the twenty nineth day of April 1704. But they found no Wreck, only at Watling Island in the voyage aforesd amongst the Bahamas they found half a dozen or half a score Guns upon Reef and that Some of those Indians were Commanded to go down who did so and dived and flung those Guns and so they were got on board and on the aforesd twenty ninth day of April the sd Ship was taken in the Harbour of Huma where some of the sd Indians were killed in the Night &amp; Some of them jumpt over board as is supposed &amp; so were lost.",,,,,"[8:165] This Deponoent Testifyd in and saith that Sometime in the year of our Lord 1703 he was Shipt at Boston in New England to Serve as Mate on Board the Ship called the portsmouth Galley James Riley Commander to proceed on a voyage in Quest of a Wreck Supposed to be according to Information Somewhere about the Bahama Island and that they had Shipt on Board to ship ten Indians of Boston aforesd to Serve as Divers in sd Voyage which sd Indians as this - Deponent was Informed now Shipt on Board sd ship by Mr. William Hearley, whom he the Deponent Saw bring the sd Indians on Board. And farther this Deponent saith That they Sailed out of Boston in prosecution of sd voyage sometime in December 1703 and that the sd Ten Indians - were on board and faithfully attended the Service of sd Ships - untill the twenty nineth day of April 1704. But they found no Wreck, only at Watling Island in the voyage aforesd amongst the Bahamas they found half a dozen or half a score Guns upon Reef and that Some of those Indians were Commanded to go down who did so and dived and flung those Guns and so they were got on board and on the aforesd twenty ninth day of April the sd Ship was taken in the Harbour of Huma where some of the sd Indians were killed in the Night &amp; Some of them jumpt over board as is supposed &amp; so were lost.","[8:165] This Deponoent Testifyd in and saith that Sometime in the year of our Lord 1703 he was Shipt at Boston in New England to Serve as Mate on Board the Ship called the portsmouth Galley James Riley Commander to proceed on a voyage in Quest of a Wreck Supposed to be according to Information Somewhere about the Bahama Island and that they had Shipt on Board to ship ten Indians of Boston aforesd to Serve as Divers in sd Voyage which sd Indians as this - Deponent was Informed now Shipt on Board sd ship by Mr. William Hearley, whom he the Deponent Saw bring the sd Indians on Board. And farther this Deponent saith That they Sailed out of Boston in prosecution of sd voyage sometime in December 1703 and that the sd Ten Indians - were on board and faithfully attended the Service of sd Ships - untill the twenty nineth day of April 1704. But they found no Wreck, only at Watling Island in the voyage aforesd amongst the Bahamas they found half a dozen or half a score Guns upon Reef and that Some of those Indians were Commanded to go down who did so and dived and flung those Guns and so they were got on board and on the aforesd twenty ninth day of April the sd Ship was taken in the Harbour of Huma where some of the sd Indians were killed in the Night &amp; Some of them jumpt over board as is supposed &amp; so were lost.","[8:165] This Deponoent Testifyd in and saith that Sometime in the year of our Lord 1703 he was Shipt at Boston in New England to Serve as Mate on Board the Ship called the portsmouth Galley James Riley Commander to proceed on a voyage in Quest of a Wreck Supposed to be according to Information Somewhere about the Bahama Island and that they had Shipt on Board to ship ten Indians of Boston aforesd to Serve as Divers in sd Voyage which sd Indians as this - Deponent was Informed now Shipt on Board sd ship by Mr. William Hearley, whom he the Deponent Saw bring the sd Indians on Board. And farther this Deponent saith That they Sailed out of Boston in prosecution of sd voyage sometime in December 1703 and that the sd Ten Indians - were on board and faithfully attended the Service of sd Ships - untill the twenty nineth day of April 1704. But they found no Wreck, only at Watling Island in the voyage aforesd amongst the Bahamas they found half a dozen or half a score Guns upon Reef and that Some of those Indians were Commanded to go down who did so and dived and flung those Guns and so they were got on board and on the aforesd twenty ninth day of April the sd Ship was taken in the Harbour of Huma where some of the sd Indians were killed in the Night &amp; Some of them jumpt over board as is supposed &amp; so were lost."
4ccfad8df2c247718df4a0b98d9a3cdb,not found in text,not found in text,,,,,not found in text,not found in text
4cda087e708f4a409a3bced3f9493d6c,"[8:165] This Deponoent Testifyd in and saith that Sometime in the year of our Lord 1703 he was Shipt at Boston in New England to Serve as Mate on Board the Ship called the portsmouth Galley James Riley Commander to proceed on a voyage in Quest of a Wreck Supposed to be according to Information Somewhere about the Bahama Island and that they had Shipt on Board to ship ten Indians of Boston aforesd to Serve as Divers in sd Voyage which sd Indians as this - Deponent was Informed now Shipt on Board sd ship by Mr. William Hearley, whom he the Deponent Saw bring the sd Indians on Board. And farther this Deponent saith That they Sailed out of Boston in prosecution of sd voyage sometime in December 1703 and that the sd Ten Indians - were on board and faithfully attended the Service of sd Ships - untill the twenty nineth day of April 1704. But they found no Wreck, only at Watling Island in the voyage aforesd amongst the Bahamas they found half a dozen or half a score Guns upon Reef and that Some of those Indians were Commanded to go down who did so and dived and flung those Guns and so they were got on board and on the aforesd twenty ninth day of April the sd Ship was taken in the Harbour of Huma where some of the sd Indians were killed in the Night &amp; Some of them jumpt over board as is supposed &amp; so were lost.",,,,,,"[8:165] This Deponoent Testifyd in and saith that Sometime in the year of our Lord 1703 he was Shipt at Boston in New England to Serve as Mate on Board the Ship called the portsmouth Galley James Riley Commander to proceed on a voyage in Quest of a Wreck Supposed to be according to Information Somewhere about the Bahama Island and that they had Shipt on Board to ship ten Indians of Boston aforesd to Serve as Divers in sd Voyage which sd Indians as this - Deponent was Informed now Shipt on Board sd ship by Mr. William Hearley, whom he the Deponent Saw bring the sd Indians on Board. And farther this Deponent saith That they Sailed out of Boston in prosecution of sd voyage sometime in December 1703 and that the sd Ten Indians - were on board and faithfully attended the Service of sd Ships - untill the twenty nineth day of April 1704. But they found no Wreck, only at Watling Island in the voyage aforesd amongst the Bahamas they found half a dozen or half a score Guns upon Reef and that Some of those Indians were Commanded to go down who did so and dived and flung those Guns and so they were got on board and on the aforesd twenty ninth day of April the sd Ship was taken in the Harbour of Huma where some of the sd Indians were killed in the Night &amp; Some of them jumpt over board as is supposed &amp; so were lost.","[8:165] This Deponoent Testifyd in and saith that Sometime in the year of our Lord 1703 he was Shipt at Boston in New England to Serve as Mate on Board the Ship called the portsmouth Galley James Riley Commander to proceed on a voyage in Quest of a Wreck Supposed to be according to Information Somewhere about the Bahama Island and that they had Shipt on Board to ship ten Indians of Boston aforesd to Serve as Divers in sd Voyage which sd Indians as this - Deponent was Informed now Shipt on Board sd ship by Mr. William Hearley, whom he the Deponent Saw bring the sd Indians on Board. And farther this Deponent saith That they Sailed out of Boston in prosecution of sd voyage sometime in December 1703 and that the sd Ten Indians - were on board and faithfully attended the Service of sd Ships - untill the twenty nineth day of April 1704. But they found no Wreck, only at Watling Island in the voyage aforesd amongst the Bahamas they found half a dozen or half a score Guns upon Reef and that Some of those Indians were Commanded to go down who did so and dived and flung those Guns and so they were got on board and on the aforesd twenty ninth day of April the sd Ship was taken in the Harbour of Huma where some of the sd Indians were killed in the Night &amp; Some of them jumpt over board as is supposed &amp; so were lost."
4cddb18441824ebe80db16d07fbea75b,[14] NEWPORT - CONTINUED.,[14] NEWPORT - CONTINUED.,,[14] NEWPORT - CONTINUED.,[14] NEWPORT - CONTINUED.,,[14] NEWPORT - CONTINUED.,[14] NEWPORT - CONTINUED.
4cee7e9952014772ac22b419a1698260,,,,,,,,
4cffc6e460e4430ca7cbf2eac114f2ae,,,,,"[492] The Letter of the 16th is not found. But on the 19th of December the Governor wrote to Col. Hilton, that Col. March would not probably be able to take the command, and offered it to him. On the 15th of January, 1707, Col Hilton received a Commission from Gov. Dudley as ""Chief Commander of the new raysed forces, within the Provinces of the Massachusetts Bay and New Hampshire, for her Ma'ty's service, in an expedition to Noridgwock &amp; other Eastern parts against the French and Indian enemy and Rebels; and Captain of the Company raissed for that service in the Province of New Hampshire.""",,"[492] The Letter of the 16th is not found. But on the 19th of December the Governor wrote to Col. Hilton, that Col. March would not probably be able to take the command, and offered it to him. On the 15th of January, 1707, Col Hilton received a Commission from Gov. Dudley as ""Chief Commander of the new raysed forces, within the Provinces of the Massachusetts Bay and New Hampshire, for her Ma'ty's service, in an expedition to Noridgwock &amp; other Eastern parts against the French and Indian enemy and Rebels; and Captain of the Company raissed for that service in the Province of New Hampshire.""","[492] The Letter of the 16th is not found. But on the 19th of December the Governor wrote to Col. Hilton, that Col. March would not probably be able to take the command, and offered it to him. On the 15th of January, 1707, Col Hilton received a Commission from Gov. Dudley as ""Chief Commander of the new raysed forces, within the Provinces of the Massachusetts Bay and New Hampshire, for her Ma'ty's service, in an expedition to Noridgwock &amp; other Eastern parts against the French and Indian enemy and Rebels; and Captain of the Company raissed for that service in the Province of New Hampshire."""
4d10ab97b3dd45c49d923720a70b6a70,[131] Report of Brigadier General Scott.,,[131] Report of Brigadier General Scott.,[131] Report of Brigadier General Scott.,[131] Report of Brigadier General Scott.,,[131] Report of Brigadier General Scott.,[131] Report of Brigadier General Scott.
4d1c8900ac544d9299fe316107e28c04,"<span>Ran-away from the Subscriber, on the 9th Instant, an Indian Servant Woman, named Eunice, very fat and lusty. Whoever shall entertain or employ her, will be dealt with according to Law. James Roach</span>",,,,,,"<span>Ran-away from the Subscriber, on the 9th Instant, an Indian Servant Woman, named Eunice, very fat and lusty. Whoever shall entertain or employ her, will be dealt with according to Law. James Roach</span>","<span>Ran-away from the Subscriber, on the 9th Instant, an Indian Servant Woman, named Eunice, very fat and lusty. Whoever shall entertain or employ her, will be dealt with according to Law. James Roach</span>"
4d2de111ece446afb3db16d48423453e,not found in text,not found in text,,,,not found in text,not found in text,not found in text
4d39bb415e294cfc86d8c4ac0fafe0b3,,,,,,,,
